"","Open","High","Low","Close","Med","CO"
"2017-02-09 05:00:00",1.07473,1.07513,1.07366,1.07376,1.074395,-0.000969999999999915
"2017-02-09 05:30:00",1.07376,1.07437,1.07346,1.074,1.073915,0.000240000000000018
"2017-02-09 06:00:00",1.07398,1.07435,1.07353,1.07356,1.07394,-0.000419999999999865
"2017-02-09 06:30:00",1.07356,1.07391,1.07283,1.07293,1.07337,-0.00063000000000013
"2017-02-09 07:00:00",1.07292,1.07367,1.07249,1.07328,1.07308,0.000359999999999916
"2017-02-09 07:30:00",1.07326,1.07438,1.07291,1.07427,1.073645,0.00100999999999996
"2017-02-09 08:00:00",1.07427,1.07456,1.07389,1.07425,1.074225,-2.0000000000131e-05
"2017-02-09 08:30:00",1.07427,1.07472,1.07391,1.07415,1.074315,-0.00012000000000012
"2017-02-09 09:00:00",1.07415,1.07508,1.07401,1.07489,1.074545,0.000739999999999963
"2017-02-09 09:30:00",1.07487,1.07566,1.07453,1.07469,1.075095,-0.000180000000000069
"2017-02-09 10:00:00",1.07468,1.07539,1.07428,1.07446,1.074835,-0.000220000000000109
"2017-02-09 10:30:00",1.0745,1.0766,1.07444,1.07603,1.07552,0.00153000000000003
"2017-02-09 11:00:00",1.07604,1.07744,1.07494,1.07544,1.07619,-0.000600000000000156
"2017-02-09 11:30:00",1.07543,1.07587,1.07482,1.07519,1.075345,-0.000240000000000018
"2017-02-09 12:00:00",1.07519,1.07576,1.07462,1.0753,1.07519,0.000109999999999832
"2017-02-09 12:30:00",1.07527,1.07554,1.0746,1.07478,1.07507,-0.000489999999999879
"2017-02-09 13:00:00",1.07478,1.07599,1.07476,1.07579,1.075375,0.00100999999999996
"2017-02-09 13:30:00",1.07593,1.07604,1.07532,1.0756,1.07568,-0.000330000000000163
"2017-02-09 14:00:00",1.0756,1.07576,1.07412,1.07427,1.07494,-0.00132999999999983
"2017-02-09 14:30:00",1.07428,1.07431,1.07334,1.07343,1.073825,-0.000849999999999795
"2017-02-09 15:00:00",1.07342,1.07342,1.07242,1.07286,1.07292,-0.000560000000000116
"2017-02-09 15:30:00",1.07287,1.0729,1.07213,1.07219,1.072515,-0.000680000000000014
"2017-02-09 16:00:00",1.07218,1.07276,1.07197,1.07261,1.072365,0.000430000000000152
"2017-02-09 16:30:00",1.07261,1.0733,1.07253,1.07325,1.072915,0.000639999999999974
"2017-02-09 17:00:00",1.07328,1.07331,1.07292,1.07313,1.073115,-0.000150000000000095
"2017-02-09 17:30:00",1.07313,1.07322,1.073,1.07307,1.07311,-5.9999999999949e-05
"2017-02-09 18:00:00",1.07307,1.07318,1.07269,1.07297,1.072935,-9.9999999999989e-05
"2017-02-09 18:30:00",1.07294,1.07323,1.07279,1.07307,1.07301,0.000129999999999963
"2017-02-09 19:00:00",1.07306,1.07382,1.0726,1.07262,1.07321,-0.000439999999999996
"2017-02-09 19:30:00",1.07261,1.0736,1.07232,1.07277,1.07296,0.000159999999999938
"2017-02-09 20:00:00",1.07278,1.07294,1.0723,1.0729,1.07262,0.000119999999999898
"2017-02-09 20:30:00",1.07291,1.07334,1.07256,1.07305,1.07295,0.000140000000000029
"2017-02-09 21:00:00",1.07304,1.07341,1.07213,1.07293,1.07277,-0.000110000000000054
"2017-02-09 21:30:00",1.07293,1.07346,1.0728,1.07287,1.07313,-5.9999999999949e-05
"2017-02-09 22:00:00",1.0729,1.07375,1.07263,1.07322,1.07319,0.000320000000000098
"2017-02-09 22:30:00",1.07323,1.07342,1.07292,1.07304,1.07317,-0.000189999999999912
"2017-02-09 23:00:00",1.07304,1.07325,1.07268,1.0728,1.072965,-0.000240000000000018
"2017-02-09 23:30:00",1.07281,1.07319,1.07266,1.0731,1.072925,0.000289999999999901
"2017-02-10 00:00:00",1.07308,1.07368,1.07296,1.07342,1.07332,0.000340000000000007
"2017-02-10 00:30:00",1.07342,1.0735,1.07296,1.07302,1.07323,-0.000399999999999956
"2017-02-10 01:00:00",1.07301,1.07301,1.07269,1.07272,1.07285,-0.000290000000000123
"2017-02-10 01:30:00",1.07272,1.07277,1.07233,1.07259,1.07255,-0.000129999999999963
"2017-02-10 02:00:00",1.07256,1.0726,1.07216,1.07247,1.07238,-8.99999999999235e-05
"2017-02-10 02:30:00",1.07248,1.07251,1.07209,1.07211,1.0723,-0.000370000000000203
"2017-02-10 03:00:00",1.07211,1.07215,1.0711,1.07178,1.071625,-0.000329999999999941
"2017-02-10 03:30:00",1.07179,1.07264,1.07123,1.07127,1.071935,-0.000520000000000076
"2017-02-10 04:00:00",1.0713,1.07322,1.07126,1.07306,1.07224,0.00175999999999998
"2017-02-10 04:30:00",1.07307,1.07307,1.0722,1.0729,1.072635,-0.000170000000000003
"2017-02-10 05:00:00",1.07289,1.07486,1.07242,1.07438,1.07364,0.00148999999999999
"2017-02-10 05:30:00",1.07439,1.07542,1.07418,1.07493,1.0748,0.000539999999999985
"2017-02-10 06:00:00",1.07494,1.0751,1.07414,1.07497,1.07462,2.99999999999745e-05
"2017-02-10 06:30:00",1.075,1.07542,1.07467,1.07531,1.075045,0.000310000000000032
"2017-02-10 07:00:00",1.07531,1.07559,1.07508,1.07511,1.075335,-0.000199999999999978
"2017-02-10 07:30:00",1.0751,1.07534,1.07475,1.07519,1.075045,9.00000000001455e-05
"2017-02-10 08:00:00",1.07519,1.07693,1.07478,1.07604,1.075855,0.000850000000000017
"2017-02-10 08:30:00",1.07605,1.07665,1.07444,1.07452,1.075545,-0.00153000000000003
"2017-02-10 09:00:00",1.0745,1.07478,1.07366,1.07386,1.07422,-0.000639999999999974
"2017-02-10 09:30:00",1.07387,1.0745,1.07351,1.07441,1.074005,0.000539999999999985
"2017-02-10 10:00:00",1.07442,1.0745,1.07195,1.07254,1.073225,-0.00187999999999988
"2017-02-10 10:30:00",1.07253,1.07373,1.07197,1.07265,1.07285,0.00012000000000012
"2017-02-10 11:00:00",1.07265,1.07435,1.07253,1.0743,1.07344,0.00164999999999993
"2017-02-10 11:30:00",1.07431,1.07447,1.07343,1.07404,1.07395,-0.000269999999999992
"2017-02-10 12:00:00",1.07405,1.07451,1.07313,1.07331,1.07382,-0.000739999999999963
"2017-02-10 12:30:00",1.07332,1.07527,1.07326,1.07423,1.074265,0.000909999999999966
"2017-02-10 13:00:00",1.07423,1.07444,1.07282,1.07314,1.07363,-0.00109000000000004
"2017-02-10 13:30:00",1.07313,1.07374,1.07247,1.07371,1.073105,0.000580000000000025
"2017-02-10 14:00:00",1.07371,1.07396,1.07285,1.07357,1.073405,-0.000140000000000029
"2017-02-10 14:30:00",1.07358,1.07378,1.07243,1.07256,1.073105,-0.00102000000000002
"2017-02-10 15:00:00",1.07256,1.07298,1.07199,1.07288,1.072485,0.000320000000000098
"2017-02-10 15:30:00",1.07283,1.0741,1.07283,1.07406,1.073465,0.00123000000000006
"2017-02-10 16:00:00",1.07406,1.07495,1.07357,1.07457,1.07426,0.00051000000000001
"2017-02-10 16:30:00",1.07458,1.07522,1.0743,1.07516,1.07476,0.000579999999999803
